# 由21键曲谱播放器从 Sea of Tranquility.mid 转换
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：500 ms/拍
p 2.5
wsx 1
rfv 0.75
yhn 0.75
rfv 1
edc 0.5
wsx 1
rfv 0.75
yhn 0.75
rfv 1
qaz 0.5
yhn 1
tgb 0.75
rfv 0.75
wsx 1
qaz 0.5
yhn 1
tgb 0.75
rfv 0.75
wsx 0.5
qaz 0.5
rfv 0.5
wsx 1
rfv 0.75
yhn 0.75
rfv 1
edc 0.5
wsx 1
rfv 0.75
yhn 0.75
rfv 1
qaz 0.5
yhn 1
tgb 0.75
rfv 0.75
wsx 1
qaz 0.5
yhn 1
tgb 0.75
rfv 0.75
wsx 0.5
qaz 0.5
rfv 0.5
wsx 1
rfv 0.75
yhn 0.75
rfv 1
edc 0.5
wsx 1
rfv 0.75
yhn 0.75
rfv 1
qaz 0.5
yhn 0.5
yhn 0.5
tgb 0.75
rfv 0.75
wsx 1
qaz 0.5
yhn 0.5
yhn 0.5
tgb 0.75
rfv 0.75
wsx 0.5
qaz 0.5
rfv 0.5
wsx 1
rfv 0.75
yhn 0.75
rfv 1
edc 0.5
wsx 1
rfv 0.75
yhn 0.75
rfv 1
qaz 0.5
yhn 0.5
yhn 0.5
tgb 0.75
rfv 0.75
wsx 1
qaz 0.5
yhn 0.5
yhn 0.5
tgb 0.75
rfv 0.75
wsx 0.5
qaz 0.5
rfv 0.5
wsx 0.5
wsx 0.5
rfv 0.75
yhn 0.75
rfv 1
edc 0.5
wsx 0.5
wsx 0.5
rfv 0.75
yhn 0.75
rfv 1
qaz 0.5
yhn 0.5
yhn 0.5
tgb 0.75
rfv 0.75
wsx 1
qaz 0.5
yhn 0.5
yhn 0.5
tgb 0.75
rfv 0.75
wsx 0.5
qaz 0.5
rfv 0.5
wsx 0.5
wsx 0.5
rfv 0.75
yhn 0.75
rfv 1
edc 0.5
wsx 0.5
wsx 0.5
rfv 0.75
yhn 0.75
rfv 1
qaz 0.5
yhn 0.5
yhn 0.5
tgb 0.75
rfv 0.75
wsx 1
qaz 0.5
yhn 0.5
yhn 0.5
tgb 0.75
rfv 0.75
wsx 0.5
qaz 0.5
rfv 4.5
wsx 3
rfv 1
wsx 3
tgb 0.5
rfv 0.5
wsx 2.5
rfv 0.5
wsx 1
wsx 2
rfv 0.5
edc 0.5
wsx 0.5
qaz 0.5
wsx 3
rfv 1
wsx 3
tgb 0.5
rfv 0.5
wsx 2.5
rfv 0.5
wsx 1
wsx 2
rfv 0.5
edc 0.5
wsx 0.5
qaz 0.5
wsx 3
rfv 1
wsx 3
tgb 0.5
rfv 0.5
wsx 2.5
rfv 0.5
wsx 1
wsx 2
rfv 0.5
edc 0.5
wsx 0.5
qaz 0.5
wsx 3
rfv 1
wsx 3
tgb 0.5
rfv 0.5
wsx 2.5
rfv 0.5
wsx 1
wsx 2
rfv 0.5
edc 0.5
wsx 0.5
qaz 0.5
wsx 1
rfv 0.75
yhn 0.75
rfv 1
edc 0.5
wsx 1
rfv 0.75
yhn 0.75
rfv 1
qaz 0.5
yhn 1
tgb 0.75
rfv 0.75
wsx 1
qaz 0.5
yhn 1
tgb 0.75
rfv 0.75
wsx 0.5
qaz 0.5
rfv 0.5
wsx 1
rfv 0.75
yhn 0.75
rfv 1
edc 0.5
wsx 1
rfv 0.75
yhn 0.75
rfv 1
qaz 0.5
yhn 1
tgb 0.75
rfv 0.75
wsx 1
qaz 0.5
yhn 1
tgb 0.75
rfv 0.75
wsx 0.5
qaz 0.5
rfv 0.5
wsx 1
rfv 0.75
yhn 0.75
rfv 1
edc 0.5
wsx 1
rfv 0.75
yhn 0.75
rfv 1
qaz 0.5
yhn 0.5
yhn 0.5
tgb 0.75
rfv 0.75
wsx 1
qaz 0.5
yhn 0.5
yhn 0.5
tgb 0.75
rfv 0.75
wsx 0.5
qaz 0.5
rfv 0.5
wsx 1
rfv 0.75
yhn 0.75
rfv 1
edc 0.5
wsx 1
rfv 0.75
yhn 0.75
rfv 1
qaz 0.5
yhn 0.5
yhn 0.5
tgb 0.75
rfv 0.75
wsx 1
qaz 0.5
yhn 0.5
yhn 0.5
tgb 0.75
rfv 0.75
wsx 0.5
qaz 0.5
rfv 0.5
wsx 0.5
wsx 0.5
rfv 0.75
yhn 0.75
rfv 1
edc 0.5
wsx 0.5
wsx 0.5
rfv 0.75
yhn 0.75
rfv 1
qaz 0.5
yhn 0.5
yhn 0.5
tgb 0.75
rfv 0.75
wsx 1
qaz 0.5
yhn 0.5
yhn 0.5
tgb 0.75
rfv 0.75
wsx 0.5
qaz 0.5
rfv 0.5
wsx 0.5
wsx 0.5
rfv 0.75
yhn 0.75
rfv 1
edc 0.5
wsx 0.5
wsx 0.5
rfv 0.75
yhn 0.75
rfv 1
qaz 0.5
yhn 0.5
yhn 0.5
tgb 0.75
rfv 0.75
wsx 1
qaz 0.5
yhn 0.5
yhn 0.5
tgb 0.75
rfv 0.75
wsx 0.5
qaz 0.5
rfv 1
