# 由21键曲谱播放器从 少女綺想曲 ～ Dream Battle & 恋色マスタースパーク 触手猴版 但是ff14和第五能用.mid 转换
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：500 ms/拍
p 4.25
a 1.25
s 0.25
a 0.125
s 0.25
a 0.125
s 0.125
a 0.125
s 0.125
a 0.125
s 0.125
a 0.125
s 0.125
a 0.125
s 0.125
a 0.125
s 0.125
a 0.125
s 0.125
a 0.125
s 0.125
a 0.125
s 0.125
a 0.125
s 0.125
a 0.125
s 0.125
a 0.125
s 0.125
a 0.125
s 0.25
a 0.125
s 0.25
a 0.125
s 0.25
a 0.125
s 0.25
a 0.25
s 0.25
a 0.25
s 0.25
a 0.125
s 0.375
a 0.25
s 0.25
a 2.375
rtyu 0.125
wr 0.125
qyu 0.125
rt 0.125
qw 0.125
tyu 0.125
wr 0.125
q 0.125
gh 0.125
f 0.125
as 0.125
an 0.125
vb 0.125
sv 0.125
a 0.125
bn 2.125
eagjz 1
eagj 0.25
d 0.25
b 0.375
eagj 0.125
d 0.125
b 0.125
a 0.125
egj 0.125
a 0.375
esgjx 0.75
wfh 0.375
wsfh 0.125
v 0.25
n 0.375
wsfh 0.125
v 0.25
sn 0.25
wfh 0.125
s 0.375
dgj 0.75
d 0.375
dgj 0.125
b 0.125
m 0.25
d 0.125
dgj 0.25
bm 0.25
dgj 0.125
d 0.375
dgjc 0.75
dgj 0.375
dgj 0.25
b 0.125
m 0.125
d 0.125
dgj 0.625
dgj 0.625
wsgj 0.375
eagj 0.75
eagj 0.125
d 0.25
b 0.125
a 0.25
eagj 0.125
d 0.125
b 0.25
eagj 0.125
a 0.375
esgjx 0.75
wrh 0.375
wrsh 0.25
v 0.125
n 0.125
s 0.125
wrsh 0.25
v 0.125
n 0.125
s 0.125
wrh 0.125
s 0.375
edhjc 0.75
h 0.375
edhj 0.25
n 0.125
m 0.125
d 0.25
edhj 0.25
n 0.125
m 0.125
edhj 0.125
d 0.375
edgjc 0.75
edgj 0.375
edgjm 0.375
d 0.375
edgjm 0.5
edgjm 0.5
eaj 0.5
tdb 0.125
y 0.125
u 0.125
e 0.125
udb 0.125
w 0.125
y 0.125
u 0.125
tdb 0.125
y 0.25
r 0.25
tdb 0.25
e 0.125
r 0.125
wdb 0.125
e 0.25
sh 0.125
j 0.25
sgn 0.125
h 0.25
tsn 0.125
r 0.25
w 0.125
e 0.125
sjn 0.25
w 0.125
e 0.25
rsn 0.125
t 0.125
y 0.125
dm 0.125
u 0.125
u 0.125
t 0.25
u 0.125
y 0.125
rbm 0.125
y 0.125
t 0.25
e 0.125
tbm 0.125
r 0.125
w 0.25
ebm 0.125
w 0.25
h 0.125
jbm 0.125
g 0.125
s 0.25
f 0.125
gbm 0.125
d 0.25
sbm 0.375
s 0.375
sbm 0.25
n 0.375
sb 0.25
n 0.125
m 0.125
as 0.375
djb 0.125
h 0.125
j 0.25
e 0.125
db 0.125
j 0.25
h 0.125
j 0.25
wdb 0.25
e 0.125
r 0.25
edb 0.125
j 0.125
h 0.125
djb 0.125
e 0.125
s 0.125
h 0.25
sfn 0.25
r 0.125
tsfn 0.375
r 0.25
h 0.125
esfn 0.25
h 0.125
w 0.125
sfhn 0.5
svm 0.375
s 0.25
d 0.125
f 0.125
j 0.125
wsvm 0.25
e 0.125
r 0.125
u 0.125
svm 0.25
e 0.125
e 0.125
svm 0.25
w 0.125
e 0.125
svm 0.125
j 0.125
m 0.375
svm 0.125
j 0.25
jvm 0.25
h 0.125
g 0.125
f 0.125
sgvm 0.25
f 0.125
d 0.25
sm 0.125
f 0.125
d 0.25
sm 0.125
ed 0.25
w 0.125
r 0.125
u 0.125
w 0.125
rs 0.25
ud 0.125
wf 0.125
rj 0.125
us 0.125
w 0.25
rd 0.125
u 0.125
wf 0.125
r 0.125
ug 0.25
w 0.125
ef 0.125
r 0.25
td 0.125
y 0.25
us 0.25
w 0.125
rd 0.25
u 0.125
wf 0.25
e 0.125
rg 0.125
u 0.25
wf 0.25
e 0.25
rd 0.25
u 0.125
ws 0.125
u 0.125
wd 0.25
y 0.125
wf 0.25
t 0.25
wg 0.125
r 0.25
uf 0.25
w 0.25
yd 0.25
u 0.25
ts 0.25
y 0.25
rd 0.25
t 0.25
ef 0.25
r 0.25
wg 0.25
e 0.25
fj 0.25
w 0.25
dh 0.25
j 0.375
f 0.375
g 0.375
s 0.25
d 0.375
dgm 0.5
fhm 0.5
dgjc 0.875
d 0.375
ejb 0.375
dgj 0.375
b 0.375
d 0.375
gb 0.125
j 0.125
e 0.125
td 0.375
db 0.375
d 0.375
wdb 0.125
e 0.125
rsh 0.375
tsj 0.125
v 0.25
wsf 0.375
esg 0.375
agj 0.75
a 0.375
ej 0.375
agj 0.375
db 0.375
a 0.375
dgb 0.125
j 0.125
e 0.125
ta 0.375
d 0.125
r 0.25
ta 0.125
y 0.125
rdb 0.125
t 0.25
ea 0.125
r 0.125
wdb 0.125
e 0.25
aj 0.375
dhb 0.375
gjc 0.375
d 0.25
f 0.125
d 0.375
eg 0.375
dgj 0.375
b 0.375
d 0.375
g 0.125
j 0.125
e 0.125
td 0.375
rb 0.125
e 0.125
wd 0.375
wdb 0.125
e 0.125
rsh 0.375
tdj 0.375
wus 0.375
ws 0.375
eaj 0.75
a 0.375
eu 0.375
eag 0.375
dhb 0.375
a 0.375
edb 0.125
r 0.125
ta 0.25
j 0.125
rdb 0.25
j 0.125
ea 0.25
j 0.125
wdb 0.375
ag 0.125
h 0.25
djb 0.25
d 0.125
ah 0.125
j 0.25
db 0.375
etjc 0.75
d 0.375
eudjb 0.375
tdj 0.375
b 0.375
d 0.375
eb 0.125
t 0.125
u 0.125
ud 0.375
b 0.375
d 0.375
yb 0.125
u 0.25
rus 0.375
ysv 0.375
wrs 0.375
ys 0.375
etaj 0.75
a 0.375
eua 0.375
taj 0.375
db 0.375
a 0.375
edb 0.125
t 0.125
ua 0.125
u 0.375
db 0.25
r 0.125
ta 0.25
y 0.125
rdb 0.25
t 0.125
ea 0.25
r 0.125
wdb 0.25
e 0.25
a 0.125
w 0.125
dhb 0.375
tdjc 0.375
d 0.125
f 0.125
dg 0.375
eudb 0.375
tdj 0.375
b 0.375
d 0.375
b 0.375
edg 0.375
fb 0.125
d 0.125
sd 0.375
wdb 0.125
e 0.125
rs 0.375
tsg 0.375
usj 0.375
ws 0.375
eadj 0.75
a 0.375
euaj 0.375
eadg 0.375
dhb 0.375
a 0.375
db 0.125
f 0.125
ag 0.125
m 0.125
dfb 0.25
m 0.125
ad 0.125
m 0.125
sdb 0.375
ab 0.125
n 0.25
db 0.25
d 0.125
an 0.25
m 0.125
db 0.375
dgjc 0.75
d 0.375
edgb 0.375
dgj 0.375
db 0.75
db 0.375
etdj 0.375
db 0.375
d 0.375
wdb 0.125
e 0.25
rsh 0.375
tsjv 0.375
wf 0.375
esgv 0.375
agj 0.75
a 0.375
eaj 0.375
agj 0.375
db 0.75
db 0.375
etgj 0.375
db 0.375
ta 0.25
r 0.125
edb 0.125
j 0.25
ad 0.125
s 0.125
djb 0.25
g 0.25
d 0.125
h 0.125
djb 0.125
w 0.25
gjc 0.75
d 0.375
edgb 0.375
dgj 0.375
db 0.75
db 0.375
etdj 0.375
db 0.375
d 0.375
wdb 0.125
e 0.125
rs 0.375
tsjv 0.375
wu 0.375
wsv 0.375
eaj 0.75
a 0.375
eua 0.375
eag 0.375
dhb 0.75
db 0.375
aj 0.125
e 0.125
rdb 0.125
t 0.25
ra 0.125
e 0.125
djb 0.375
af 0.125
d 0.25
dbn 0.375
f 0.125
g 0.125
dhb 0.125
j 0.25
etjc 0.75
d 0.375
eudjb 0.375
tdj 0.375
db 0.75
db 0.375
etud 0.375
db 0.375
d 0.375
ydb 0.125
u 0.25
rus 0.375
ysv 0.375
wr 0.375
ysv 0.375
etaj 0.75
a 0.375
eua 0.375
taj 0.375
db 0.75
db 0.375
etua 0.375
db 0.375
ta 0.125
r 0.125
edb 0.25
j 0.25
ad 0.125
s 0.25
db 0.125
g 0.25
d 0.125
h 0.125
djb 0.125
w 0.25
etjc 0.75
d 0.375
djb 0.375
dgm 0.375
db 0.75
db 0.375
edg 0.375
db 0.375
d 0.375
wdb 0.125
e 0.25
rsf 0.375
tsgv 0.375
uj 0.375
wsv 0.375
eadj 0.75
a 0.375
euaj 0.375
eadj 0.375
db 0.75
db 0.375
a 0.375
qwdb 0.125
qgh 0.125
f 0.125
as 0.125
an 0.125
vb 0.125
sdvb 0.125
an 0.125
b 0.125
a 0.375
b 0.375
a 0.375
b 0.375
agz 0.25
h 0.125
q 0.125
r 0.125
qa 0.25
w 0.125
ya 0.25
u 0.125
a 0.125
y 0.125
ta 0.125
t 0.25
ra 0.125
t 0.25
wa 0.125
r 0.25
sh 0.25
q 0.125
g 0.125
h 0.125
ts 0.125
t 0.125
ws 0.125
r 0.125
qs 0.25
w 0.125
rb 0.125
t 0.25
ts 0.25
y 0.125
ub 0.125
u 0.25
uv 0.125
t 0.25
u 0.125
y 0.25
tv 0.25
y 0.125
tv 0.125
r 0.125
tv 0.125
t 0.125
wvb 0.25
r 0.125
v 0.125
h 0.125
qv 0.125
g 0.125
sh 0.125
g 0.125
sgb 0.25
f 0.25
sg 0.125
s 0.25
sfb 0.375
s 0.25
n 0.125
asb 0.125
s 0.25
sn 0.125
a 0.25
sb 0.375
qa 0.125
h 0.125
q 0.125
r 0.125
a 0.125
q 0.25
ah 0.25
q 0.25
wa 0.125
r 0.125
tav 0.375
qa 0.125
h 0.125
qa 0.25
r 0.25
qs 0.125
h 0.25
q 0.125
t 0.125
ts 0.125
h 0.25
t 0.125
h 0.125
rs 0.125
h 0.125
wb 0.25
h 0.125
qs 0.375
b 0.375
d 0.125
f 0.125
g 0.125
q 0.25
ed 0.125
r 0.125
td 0.125
u 0.25
td 0.125
u 0.125
rdb 0.375
ed 0.125
r 0.125
tdb 0.125
q 0.25
ea 0.125
r 0.25
tadb 0.375
qadb 0.25
h 0.125
agb 0.125
g 0.25
agb 0.25
g 0.25
f 0.125
adb 0.25
a 0.25
a 0.375
tfb 0.25
y 0.125
u 0.125
r 0.25
ufb 0.125
u 0.125
y 0.125
u 0.125
tfb 0.25
y 0.25
t 0.125
tfb 0.25
r 0.125
t 0.25
wfb 0.125
r 0.125
sh 0.125
q 0.125
sgb 0.25
q 0.125
tsb 0.125
t 0.125
w 0.25
r 0.25
qsb 0.25
w 0.125
r 0.25
tsb 0.25
t 0.125
y 0.25
av 0.125
u 0.125
u 0.25
t 0.25
u 0.25
y 0.125
tab 0.25
y 0.125
t 0.25
r 0.125
tab 0.25
t 0.125
w 0.25
qrab 0.125
w 0.125
h 0.125
qab 0.125
g 0.125
sh 0.25
g 0.125
agb 0.25
f 0.125
gb 0.125
a 0.125
s 0.125
f 0.125
s 0.375
asb 0.25
n 0.25
sb 0.125
n 0.125
a 0.25
as 0.5
qfb 0.125
h 0.125
q 0.125
r 0.25
fb 0.125
q 0.125
h 0.125
q 0.125
wfb 0.25
r 0.25
t 0.25
fb 0.125
q 0.125
h 0.125
qfb 0.125
r 0.25
qs 0.125
h 0.125
qgn 0.25
t 0.25
tgn 0.375
t 0.125
h 0.25
rgn 0.125
h 0.25
w 0.25
gn 0.25
q 0.375
db 0.375
d 0.125
f 0.125
g 0.125
j 0.125
edb 0.125
r 0.125
t 0.25
u 0.25
tdb 0.125
u 0.25
r 0.25
edb 0.125
e 0.125
r 0.125
etdb 0.125
q 0.125
ea 0.25
r 0.125
qtadb 0.375
qadb 0.125
h 0.125
g 0.125
g 0.25
agb 0.25
g 0.125
f 0.25
adb 0.25
a 0.375
ab 0.375
sfh 0.875
s 0.375
wf 0.375
sfh 0.5
v 0.375
s 0.375
fv 0.125
h 0.125
w 0.125
rs 0.375
sv 0.375
s 0.375
qv 0.125
w 0.125
ea 0.375
ran 0.375
qa 0.375
wn 0.375
fhn 0.75
n 0.375
wf 0.375
fhn 0.375
s 0.375
n 0.375
s 0.375
rfhn 0.375
s 0.25
e 0.25
rn 0.125
t 0.125
s 0.25
r 0.125
wn 0.125
e 0.125
qs 0.125
w 0.125
hn 0.25
q 0.125
sg 0.375
sfh 0.75
s 0.375
wsf 0.375
sfh 0.375
sv 0.375
s 0.375
fv 0.125
h 0.125
w 0.125
rs 0.375
sv 0.375
s 0.375
qs 0.125
w 0.125
ea 0.375
ran 0.375
ya 0.375
qn 0.375
whn 0.75
n 0.375
wyn 0.375
whn 0.375
s 0.375
n 0.375
ws 0.125
e 0.25
rn 0.25
h 0.125
es 0.25
h 0.125
wn 0.25
h 0.125
qs 0.375
fn 0.125
g 0.25
sh 0.25
s 0.25
fn 0.125
h 0.25
s 0.375
wrsh 0.75
s 0.375
wysh 0.375
rsh 0.375
v 0.375
s 0.375
s 0.375
wrus 0.375
sv 0.375
s 0.375
ts 0.125
y 0.125
qeua 0.375
tdb 0.375
qea 0.375
tdb 0.375
wrhn 0.75
n 0.375
wyn 0.375
rhn 0.375
s 0.375
n 0.375
s 0.375
wrun 0.375
s 0.25
e 0.125
rn 0.125
t 0.25
es 0.125
r 0.125
wn 0.125
e 0.125
qs 0.25
w 0.125
hn 0.125
q 0.125
sg 0.375
wrsh 0.75
s 0.375
wysh 0.375
rsh 0.375
v 0.25
s 0.25
s 0.375
sv 0.375
wrus 0.375
sv 0.375
s 0.375
us 0.125
u 0.125
eua 0.375
r 0.375
ya 0.375
qudb 0.375
wyun 0.75
n 0.375
yun 0.5
wyun 0.375
s 0.375
n 0.375
ws 0.125
e 0.25
rn 0.125
h 0.25
es 0.125
h 0.25
wn 0.125
h 0.125
qs 0.375
fn 0.125
g 0.25
s 0.125
s 0.125
gn 0.125
h 0.125
s 0.375
sfh 0.75
s 0.375
wsf 0.375
sfh 0.375
s 0.375
s 0.375
s 0.375
wrsh 0.375
s 0.375
s 0.375
qs 0.125
w 0.125
rag 0.375
rah 0.375
qaf 0.375
waf 0.375
sfhm 0.75
m 0.375
whm 0.375
fhm 0.375
sm 0.375
m 0.375
sm 0.375
wrhm 0.375
sm 0.375
rm 0.125
r 0.125
wsm 0.125
h 0.125
sm 0.25
a 0.125
sm 0.125
f 0.125
sm 0.25
fg 0.125
hm 0.125
q 0.125
sfh 0.75
s 0.375
wsf 0.375
sfh 0.375
s 0.375
s 0.375
s 0.375
wrsh 0.375
s 0.5
s 0.375
qs 0.125
w 0.25
ra 0.375
r 0.375
qya 0.375
qa 0.375
whm 0.75
m 0.375
ym 0.375
whm 0.375
sm 0.375
m 0.375
sm 0.375
hm 0.125
w 0.25
rsm 0.25
r 0.125
rm 0.25
w 0.125
shm 0.375
fm 0.125
s 0.125
asm 0.125
b 0.25
fm 0.125
f 0.125
gm 0.125
h 0.25
wrshz 0.75
s 0.375
wys 0.375
wrs 0.375
s 0.375
s 0.375
ws 0.125
ry 0.25
us 0.75
s 0.375
ts 0.125
y 0.125
rua 0.375
ta 0.375
qra 0.375
ta 0.375
wrhm 0.75
m 0.375
wyhm 0.375
rhm 0.375
sm 0.375
m 0.375
sm 0.125
wr 0.125
y 0.125
um 0.375
sm 0.375
rm 0.125
r 0.125
wsm 0.125
h 0.25
sm 0.125
a 0.125
sm 0.25
f 0.25
sm 0.125
g 0.125
shm 0.25
q 0.25
wrshz 0.75
s 0.375
wys 0.375
wrs 0.375
s 0.375
s 0.375
s 0.375
wrus 0.375
s 0.375
s 0.375
us 0.125
