# 由21键曲谱播放器从 樱桃小丸子OP おどるポンポコリン（大家来跳舞）.mid 转换
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：700 ms/拍
qa 1
hb 0.5
g 0.5
qa 1
hb 0.5
g 0.5
a 0.5
e 0.5
b 0.5
w 0.5
qa 0.5
q 0.5
wm 1
qn 1
hc 0.5
g 0.5
qn 1
hc 0.5
g 0.5
n 0.5
e 0.5
c 0.5
w 0.5
qn 0.5
q 0.5
wb 1
qv 1
ah 0.5
g 0.5
qv 1
ah 0.5
t 0.5
b 0.5
t 0.5
ts 0.5
y 0.5
eb 1
ws 1
qa 0.5
ws 0.5
ed 0.5
rf 0.5
tg 0.5
rf 0.5
ed 0.5
ws 0.5
qa 0.5
ed 0.5
tg 0.5
ed 0.5
tg 1
tgb 1
ag 0.5
g 0.5
gb 0.5
g 0.5
ag 0.5
g 0.5
db 0.5
g 0.5
hn 0.5
j 0.5
c 0.5
h 0.5
n 1
c 0.5
h 0.5
v 0.5
h 0.5
ah 0.5
h 0.5
hv 0.5
h 0.5
ah 0.5
q 0.5
jb 0.5
h 0.5
s 0.5
g 0.5
b 1
s 0.5
g 0.5
a 0.5
g 0.5
gb 0.5
g 0.5
ag 0.5
g 0.5
db 0.5
g 0.5
hn 0.5
j 0.5
c 0.5
h 0.5
n 1
c 0.5
h 0.5
v 0.5
h 0.5
ah 0.5
h 0.5
hv 0.5
h 0.5
ah 0.5
q 0.5
jb 0.5
q 0.5
s 0.5
w 0.5
b 1
s 0.5
q 0.5
v 0.5
q 0.5
qa 0.5
h 0.5
qv 1
a 1
qv 0.5
q 0.5
qa 0.5
w 0.5
v 0.5
q 0.5
a 0.5
q 0.5
a 0.5
q 0.5
qb 0.5
g 0.5
qa 1
b 1
qa 0.5
q 0.5
qb 0.5
w 0.5
a 0.5
q 0.5
m 1
n 1
hc 1
jn 0.5
q 0.5
c 0.5
w 0.5
n 1
qc 1
jn 0.5
q 0.5
c 0.5
w 0.5
b 1
s 0.5
g 0.5
b 0.5
j 0.5
s 0.5
g 0.5
b 0.5
esgjbm 1
w 0.5
e 0.5
t 0.5
e 0.5
w 0.5
qa 1
hb 0.5
g 0.5
qa 1
hb 0.5
g 0.5
a 0.5
e 0.5
b 0.5
w 0.5
qa 0.5
q 0.5
wm 1
qn 1
hc 0.5
g 0.5
qn 1
hc 0.5
g 0.5
n 0.5
e 0.5
c 0.5
w 0.5
qn 0.5
q 0.5
wb 1
qv 1
ah 0.5
g 0.5
qv 1
ah 0.5
g 0.5
s 0.5
r 0.5
n 0.5
r 0.5
es 0.5
w 0.5
qn 0.5
e 0.5
wb 1
s 0.5
g 0.5
b 0.5
j 0.5
s 0.5
g 0.5
b 0.5
esgjbm 1
w 0.5
e 0.5
t 0.5
e 0.5
w 0.5
qa 1
hb 0.5
g 0.5
qa 0.5
q 0.5
hb 0.5
g 0.5
a 0.5
e 0.5
b 0.5
w 0.5
qa 0.5
q 0.5
wm 1
qn 0.5
q 0.5
hc 0.5
g 0.5
qn 0.5
q 0.5
hc 0.5
g 0.5
n 0.5
e 0.5
c 0.5
w 0.5
qn 0.5
q 0.5
wb 1
qv 0.5
q 0.5
ah 0.5
g 0.5
qv 1
ah 0.5
t 0.5
b 0.5
t 0.5
ts 0.5
y 0.5
wb 1
ws 0.5
q 0.5
a 1
d 0.5
g 0.5
b 0.5
q 0.5
d 0.5
g 0.5
qa 0.5
ws 0.5
ed 0.5
rf 0.5
tg 1
tgb 1
ag 0.5
g 0.5
gb 0.5
g 0.5
ag 0.5
g 0.5
db 0.5
g 0.5
hn 0.5
j 0.5
c 0.5
h 0.5
n 1
c 0.5
h 0.5
v 0.5
h 0.5
ah 0.5
h 0.5
hv 0.5
h 0.5
ah 0.5
q 0.5
jb 0.5
h 0.5
s 0.5
g 0.5
b 1
s 0.5
g 0.5
a 0.5
g 0.5
gb 0.5
g 0.5
ag 0.5
g 0.5
db 0.5
g 0.5
hn 0.5
j 0.5
c 0.5
h 0.5
n 1
c 0.5
h 0.5
v 0.5
h 0.5
ah 0.5
h 0.5
hv 0.5
h 0.5
ah 0.5
q 0.5
jb 0.5
q 0.5
s 0.5
w 0.5
b 1
s 0.5
q 0.5
v 0.5
q 0.5
qa 0.5
h 0.5
qv 1
a 1
qv 0.5
q 0.5
qa 0.5
w 0.5
v 0.5
q 0.5
a 0.5
q 0.5
a 0.5
q 0.5
qb 0.5
g 0.5
qa 1
b 1
qa 0.5
q 0.5
qb 0.5
w 0.5
a 0.5
q 0.5
m 1
n 1
hc 1
jn 0.5
q 0.5
c 0.5
w 0.5
n 1
qc 1
jn 0.5
q 0.5
c 0.5
w 0.5
b 1
s 0.5
g 0.5
b 0.5
j 0.5
s 0.5
g 0.5
b 0.5
esgjbm 1
w 0.5
e 0.5
t 0.5
e 0.5
w 0.5
