# 由21键曲谱播放器从 让风告诉你 .mid 转换
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：500 ms/拍
p 2.5
e 0.5
w 0.5
q 0.5
qa 0.5
gb 0.5
qa 0.5
gb 0.5
qa 0.5
b 0.5
wa 0.5
s 0.5
qa 0.5
ws 0.5
ed 0.5
rf 0.5
ed 0.5
b 0.5
ws 0.5
qa 0.5
qa 0.5
b 0.5
ta 0.5
b 0.5
qa 0.5
b 0.5
ta 0.5
s 0.5
qa 0.5
b 0.5
ah 0.5
b 0.5
dg 0.5
db 0.5
s 0.5
ab 0.5
a 0.5
b 0.5
a 0.5
b 0.5
a 0.5
b 0.5
as 0.5
s 0.5
a 0.5
s 0.5
d 0.5
f 0.5
d 0.5
b 0.5
sf 0.5
ad 0.5
a 0.5
b 0.5
ag 0.5
b 0.5
a 0.5
b 0.5
ag 0.5
s 0.5
a 0.5
b 0.5
as 0.5
b 0.5
ad 0.5
b 0.25
x 0.125
c 0.125
sv 0.125
b 0.125
n 0.125
m 0.125
ab 0.5
a 0.5
b 0.5
a 0.5
b 0.5
a 0.5
ab 0.5
asf 0.5
db 0.5
a 0.5
b 0.5
asf 0.5
adb 0.5
a 0.5
sxb 0.5
adv 0.5
acb 0.5
a 0.5
b 0.5
ag 0.5
b 0.5
a 0.5
b 0.5
afh 0.5
dgb 0.5
ah 0.5
gb 0.5
a 0.5
b 0.5
qa 0.5
wb 0.5
ea 0.5
tb 0.5
a 0.5
b 0.5
ax 0.5
zb 0.5
a 0.5
ab 0.5
asf 0.5
adb 0.5
a 0.5
b 0.5
afh 0.5
dgb 0.5
a 0.5
wb 0.5
qea 0.5
qgb 0.5
a 0.5
b 0.5
wra 0.5
qeb 0.5
a 0.5
fb 0.5
wad 0.5
qab 0.5
a 0.5
b 0.5
a 0.5
b 0.5
a 2
adb 1
adb 1
adb 1
adb 1
adb 1
adb 1
adb 1
adb 1
adb 1
adb 1
adb 1
adb 1
adb 1
adb 1
adb 1
adb 1
adb 0.5
adgb 0.25
f 0.25
d 0.5
s 0.5
s 0.5
adb 0.25
s 0.75
asfm 0.25
a 0.5
g 0.25
sfgm 0.25
f 0.25
d 0.5
asfn 0.5
s 0.5
adfb 0.25
f 0.75
d 0.25
a 0.25
afn 0.5
afbn 0.5
b 0.5
a 0.5
f 0.5
adfn 0.5
a 0.5
afn 1
afn 0.5
afn 0.5
afn 0.5
adb 1
adb 1
qdg 0.5
q 0.25
q 0.25
q 0.25
q 0.25
qtdg 0.5
q 0.25
q 0.25
qdg 0.25
q 0.25
t 0.5
s 0.5
qafh 0.5
q 0.25
q 0.25
q 0.25
q 0.25
wrtgj 0.5
q 0.25
q 0.25
qfh 0.25
q 0.25
rt 0.5
s 0.5
qadg 0.5
q 0.25
q 0.25
q 0.25
q 0.25
qtdg 0.5
q 0.25
q 0.25
qdg 0.25
q 0.25
t 0.5
s 0.5
qag 1.5
qwsg 0.5
w 0.5
q 0.5
g 0.5
g 0.5
qdg 0.5
a 0.25
a 0.25
a 0.25
a 0.25
qdg 0.5
a 0.25
a 0.25
qadg 0.25
a 0.25
g 0.5
s 0.5
qafh 0.5
a 0.25
a 0.25
a 0.25
a 0.25
wfgj 0.5
a 0.25
a 0.25
qafh 0.25
a 0.25
fg 0.5
g 0.5
qadg 0.5
a 0.25
a 0.25
a 0.25
a 0.25
qdg 0.5
a 0.25
a 0.25
qadg 0.25
a 0.25
g 1
qadhj 1.5
afn 1
esgm 0.5
w 0.5
q 0.5
qa 0.5
gb 0.5
qa 0.5
gb 0.5
qa 0.5
b 0.5
wa 0.5
b 0.5
qa 0.5
wb 0.5
ea 0.5
rb 0.5
ea 0.5
b 0.5
wa 0.5
qb 0.5
qa 0.5
b 0.5
ta 0.5
b 0.5
qa 0.5
b 0.5
ta 0.5
b 0.5
qa 0.5
b 0.5
ah 0.5
b 0.5
ag 0.5
db 0.5
as 0.5
ab 0.5
a 0.5
b 0.5
a 0.5
b 0.5
a 0.5
b 0.5
as 0.5
b 0.5
a 0.5
sb 0.5
ad 0.5
fb 0.5
ad 0.5
b 0.5
as 0.5
ab 0.5
a 0.5
b 0.5
ag 0.5
b 0.5
a 0.5
b 0.5
ag 0.5
b 0.5
a 0.5
b 0.5
as 0.5
b 0.5
a 1
q 0.25
w 0.25
e 0.25
r 0.25
t 1
gb 2
af 0.5
sd 0.5
a 0.5
s 0.5
rd 0.5
ef 0.5
d 1
ws 0.5
qa 0.5
a 0.5
b 0.5
af 0.5
gb 0.5
a 0.5
b 0.5
af 0.5
sd 0.5
a 0.5
b 0.5
a 0.5
b 0.5
dg 0.5
fb 0.5
ad 0.5
sb 0.5
ab 1
b 1
a 1
a 0.5
s 0.5
a 0.5
s 0.5
dm 0.5
af 0.5
d 1
sf 0.5
d 0.5
a 0.5
b 0.5
ra 0.5
eb 0.5
a 0.5
b 0.5
was 0.5
qas 0.5
d 8
qg 0.5
d 0.5
qg 0.5
dz 0.25
z 0.25
qgz 0.5
dz 0.25
z 0.25
qg 0.5
dx 0.25
c 0.25
qg 0.5
d 0.5
qg 0.5
dc 0.25
x 0.25
qgc 0.5
dc 0.25
c 0.25
qg 0.5
dm 0.25
a 0.25
qg 0.5
d 0.5
qg 0.5
dz 0.25
z 0.25
qgz 0.5
dz 0.5
qgz 0.5
dx 0.5
qgc 0.5
dv 0.5
qgc 0.5
hv 0.5
qgb 0.5
wfz 0.5
qdz 1
ab 0.5
c 0.5
ab 0.5
zc 0.25
z 0.25
azb 0.5
zc 0.25
z 0.25
a 0.5
xb 0.25
x 0.25
ac 0.5
b 0.5
a 0.5
cv 0.25
x 0.25
ac 0.5
cb 0.25
c 0.25
a 0.5
bm 0.25
m 0.25
a 0.5
b 0.5
a 0.5
a 0.25
n 0.25
qa 0.5
hn 0.25
qa 0.5
hn 0.25
qa 0.5
ag 0.25
h 0.25
b 0.25
q 0.25
a 0.25
q 0.25
hb 0.25
d 0.25
qa 0.5
egb 0.5
waf 0.5
qdb 0.5
qa 0.5
gb 0.5
qa 0.5
gb 0.5
qad 0.5
