# 曲名：会呼吸的痛
# 推荐节拍：857 ms/拍（谱面标注 ♩=70）
# 来源：https://www.cangqiang.com.cn/changping.html?id=31425
# 结构：按谱面明确标注展开为 A-B-A-B-B-C；开头加入约18秒原曲前奏留白。
# 状态：简谱结构试听版；声乐谱未记录全部器乐间奏/尾奏，需游戏内试听反馈。
p 21
p 0.75
g 0.25
g 0.25
f 0.25
d 0.25
d 0.25
d 1.5
s 0.25
a 0.25
d 0.5
f 0.25
f 0.25
f 3
p 0.75
f 0.25
f 0.25
d 0.25
d 0.25
s 0.25
s 1
s 0.25
a 0.25
s 0.5
d 0.5
d 0.5
d 3
p 0.5
g 0.25
g 0.25
f 0.5
d 0.5
d 0.5
d 1
s 0.5
a 0.5
d 0.5
f 0.5
f 0.5
f 3
p 0.75
f 0.25
f 0.25
d 0.25
d 0.25
s 0.25
s 1.5
s 0.25
d 0.25
s 0.5
a 0.25
a 0.25
a 2
d 0.5
g 0.5
q 1.5
j 0.25
q 0.25
j 0.5
d 0.25
g 0.25
g 1
g 0.5
g 0.25
h 0.25
a 0.5
g 0.25
g 0.25
d 1
d 0.5
g 0.5
g 0.25
f 0.25
d 0.25
f 0.25
f 1
g 0.25
f 0.25
d 0.25
f 0.25
f 0.25
f 0.25
d 0.25
f 0.25
h 0.25
g 0.75
g 2
g 0.25
h 0.25
q 0.25
h 0.25
e 0.5
e 0.25
h 0.25
h 0.5
w 0.25
w 0.75
w 0.25
w 0.25
q 0.25
j 0.25
q 0.25
w 0.5
e 0.25
w 0.25
w 0.25
g 0.5
q 0.25
q 1
q 0.25
j 0.25
h 0.25
j 0.25
q 0.5
f 0.5
f 0.5
f 0.5
q 0.5
q 0.5
w 0.5
q 0.5
g 0.25
g 0.25
g 0.5
g 0.25
r 1
e 0.5
w 0.5
w 0.5
e 0.5
e 1
g 0.25
h 0.5
q 0.5
h 0.5
e 0.5
e 0.5
h 0.5
h 0.5
w 0.5
w 0.5
w 0.5
w 0.5
q 0.5
j 0.5
q 0.25
w 0.5
e 0.5
w 0.5
w 0.5
g 0.5
q 0.5
q 1
q 0.5
j 0.5
h 0.5
j 0.5
q 0.5
f 0.25
f 0.25
f 0.25
q 0.25
q 0.25
w 0.25
q 0.5
g 0.25
g 0.25
g 0.75
g 0.25
h 1
j 1
q 0.5
q 0.25
j 0.25
j 0.5
q 0.5
q 4
p 0.75
g 0.25
g 0.25
f 0.25
d 0.25
d 0.25
d 1.5
s 0.25
a 0.25
d 0.5
f 0.25
f 0.25
f 3
p 0.75
f 0.25
f 0.25
d 0.25
d 0.25
s 0.25
s 1
s 0.25
a 0.25
s 0.5
d 0.5
d 0.5
d 3
p 0.5
g 0.25
g 0.25
f 0.5
d 0.5
d 0.5
d 1
s 0.5
a 0.5
d 0.5
f 0.5
f 0.5
f 3
p 0.75
f 0.25
f 0.25
d 0.25
d 0.25
s 0.25
s 1.5
s 0.25
d 0.25
s 0.5
a 0.25
a 0.25
a 2
d 0.5
g 0.5
q 1.5
j 0.25
q 0.25
j 0.5
d 0.25
g 0.25
g 1
g 0.5
g 0.25
h 0.25
a 0.5
g 0.25
g 0.25
d 1
d 0.5
g 0.5
g 0.25
f 0.25
d 0.25
f 0.25
f 1
g 0.25
f 0.25
d 0.25
f 0.25
f 0.25
f 0.25
d 0.25
f 0.25
h 0.25
g 0.75
g 2
g 0.25
h 0.25
q 0.25
h 0.25
e 0.5
e 0.25
h 0.25
h 0.5
w 0.25
w 0.75
w 0.25
w 0.25
q 0.25
j 0.25
q 0.25
w 0.5
e 0.25
w 0.25
w 0.25
g 0.5
q 0.25
q 1
q 0.25
j 0.25
h 0.25
j 0.25
q 0.5
f 0.5
f 0.5
f 0.5
q 0.5
q 0.5
w 0.5
q 0.5
g 0.25
g 0.25
g 0.5
g 0.25
r 1
e 0.5
w 0.5
w 0.5
e 0.5
e 1
g 0.25
h 0.5
q 0.5
h 0.5
e 0.5
e 0.5
h 0.5
h 0.5
w 0.5
w 0.5
w 0.5
w 0.5
q 0.5
j 0.5
q 0.25
w 0.5
e 0.5
w 0.5
w 0.5
g 0.5
q 0.5
q 1
q 0.5
j 0.5
h 0.5
j 0.5
q 0.5
f 0.25
f 0.25
f 0.25
q 0.25
q 0.25
w 0.25
q 0.5
g 0.25
g 0.25
g 0.75
g 0.25
h 1
j 1
q 0.5
q 0.25
j 0.25
j 0.5
q 0.5
q 4
g 0.25
h 0.25
q 0.25
h 0.25
e 0.5
e 0.25
h 0.25
h 0.5
w 0.25
w 0.75
w 0.25
w 0.25
q 0.25
j 0.25
q 0.25
w 0.5
e 0.25
w 0.25
w 0.25
g 0.5
q 0.25
q 1
q 0.25
j 0.25
h 0.25
j 0.25
q 0.5
f 0.5
f 0.5
f 0.5
q 0.5
q 0.5
w 0.5
q 0.5
g 0.25
g 0.25
g 0.5
g 0.25
r 1
e 0.5
w 0.5
w 0.5
e 0.5
e 1
g 0.25
h 0.5
q 0.5
h 0.5
e 0.5
e 0.5
h 0.5
h 0.5
w 0.5
w 0.5
w 0.5
w 0.5
q 0.5
j 0.5
q 0.25
w 0.5
e 0.5
w 0.5
w 0.5
g 0.5
q 0.5
q 1
q 0.5
j 0.5
h 0.5
j 0.5
q 0.5
f 0.25
f 0.25
f 0.25
q 0.25
q 0.25
w 0.25
q 0.5
g 0.25
g 0.25
g 0.75
g 0.25
h 1
j 1
q 0.5
q 0.25
j 0.25
j 0.5
q 0.5
q 4
p 0.5
h 0.5
h 1
j 1
q 0.5
q 0.5
j 0.5
q 0.5
q 0.5
