# 曲名：忘情牛肉面
# 推荐节拍：857 ms/拍（谱面标注 ♩=70）
# 来源：https://www.qupu123.com/jipu/p352815.html
# 路线：曲首→反复段第1遍→第2遍至D.S.→Segno→To Coda→Coda尾声。
# 状态：公开数字声乐谱候选；已展开反复/D.S./Coda，仍需游戏内试听。
h 1
h 0.5
g 0.5
h 0.25
t 0.25
e 0.75
d 0.5
w 0.25
q 0.25
q 1
w 0.5
w 0.25
w 0.25
d 0.25
h 0.75
h 1
g 0.25
y 1
y 0.5
g 0.5
h 0.25
g 0.5
d 0.75
e 0.5
s 0.25
q 0.25
s 1
d 0.5
s 0.25
a 0.25
h 2
g 0.25
h 0.25
h 0.25
h 0.25
h 0.5
g 0.5
h 0.25
g 0.5
d 0.25
d 0.5
d 0.5
s 0.25
a 0.25
s 0.5
s 0.25
a 0.25
s 0.5
s 0.25
d 0.25
a 0.25
z 0.75
n 0.5
p 0.5
g 0.5
h 0.25
h 0.25
h 0.25
h 0.5
g 0.5
h 0.25
g 0.25
s 0.25
s 0.5
s 0.5
a 0.25
s 0.25
d 0.25
n 0.25
n 0.25
n 0.25
n 0.25
b 0.5
b 0.5
n 1
p 1
g 0.5
h 0.25
h 0.25
h 0.25
h 0.75
h 0.25
g 0.25
d 0.5
e 0.25
d 0.25
d 0.25
d 0.25
p 0.25
s 0.25
a 0.25
a 0.25
s 0.5
s 0.25
a 0.25
s 0.5
a 0.5
s 0.5
d 0.25
g 0.5
d 1
g 0.25
h 0.25
h 0.25
h 0.25
h 0.5
g 0.5
h 0.25
g 0.25
s 0.25
s 0.5
s 0.5
a 0.25
s 0.25
d 0.5
d 0.25
d 0.25
q 0.5
j 0.25
h 1
p 0.5
q 0.25
w 0.25
w 0.25
e 0.25
e 0.25
e 0.25
e 0.5
e 0.5
e 0.25
w 0.25
w 0.25
w 0.25
w 0.5
w 0.25
e 0.25
q 0.25
h 0.25
h 0.25
h 0.25
h 0.5
h 0.25
q 0.25
j 0.25
h 0.25
g 0.5
p 0.5
q 0.25
w 0.25
w 0.25
e 0.25
e 0.25
e 0.25
e 0.5
e 0.25
e 0.25
w 0.25
w 0.25
w 0.5
p 0.5
w 0.25
e 0.25
q 0.25
h 0.25
h 0.25
h 0.25
h 0.5
h 0.5
g 1.5
q 0.25
w 0.25
w 0.25
e 0.25
e 0.25
e 0.25
e 0.5
e 0.5
e 0.25
w 0.25
w 0.25
w 0.25
w 0.5
w 0.25
e 0.25
q 0.25
h 0.25
h 0.25
h 0.25
h 0.5
h 0.25
q 0.25
j 0.25
h 0.25
g 0.5
d 0.25
p 0.5
q 0.25
w 0.25
w 0.25
e 0.25
e 0.25
e 0.25
e 0.5
e 0.5
e 0.25
w 0.25
w 0.25
w 0.25
p 0.5
w 0.25
e 0.25
q 0.25
h 0.25
h 0.25
h 0.25
h 0.5
g 0.5
g 0.5
h 1.5
q 0.25
w 0.25
e 0.5
e 0.25
e 0.25
r 0.5
e 0.25
p 0.25
d 0.25
w 0.25
w 1
w 0.25
e 0.25
q 0.25
h 0.25
h 0.25
h 0.25
h 0.5
q 0.25
j 0.25
j 0.25
g 0.5
d 0.25
d 0.5
q 0.25
w 0.25
e 0.25
e 0.25
e 0.25
w 0.25
e 0.5
t 0.5
t 0.25
p 0.25
t 0.5
w 1
e 0.25
w 0.25
q 0.25
h 0.25
h 0.25
h 0.25
h 0.5
q 0.25
h 0.25
h 2
g 0.5
h 0.25
h 0.25
h 0.25
h 0.75
h 0.25
g 0.25
d 0.5
e 0.25
d 0.25
d 0.25
d 0.25
p 0.25
s 0.25
a 0.25
a 0.25
s 0.5
s 0.25
a 0.25
s 0.5
a 0.5
s 0.5
d 0.25
g 0.5
d 1
g 0.25
h 0.25
h 0.25
h 0.25
h 0.5
g 0.5
h 0.25
g 0.25
s 0.25
s 0.5
s 0.5
a 0.25
s 0.25
d 0.5
d 0.25
d 0.25
q 0.5
j 0.25
h 1
p 0.5
q 0.25
w 0.25
w 0.25
e 0.25
e 0.25
e 0.25
e 0.5
e 0.5
e 0.25
w 0.25
w 0.25
w 0.25
w 0.5
w 0.25
e 0.25
q 0.25
h 0.25
h 0.25
h 0.25
h 0.5
h 0.25
q 0.25
j 0.25
h 0.25
g 0.5
p 0.5
q 0.25
w 0.25
w 0.25
e 0.25
e 0.25
e 0.25
e 0.5
e 0.25
e 0.25
w 0.25
w 0.25
w 0.5
p 0.5
w 0.25
e 0.25
q 0.25
h 0.25
h 0.25
h 0.25
h 0.5
h 0.5
g 1.5
q 0.25
w 0.25
w 0.25
e 0.25
e 0.25
e 0.25
e 0.5
e 0.5
e 0.25
w 0.25
w 0.25
w 0.25
w 0.5
w 0.25
e 0.25
q 0.25
h 0.25
h 0.25
h 0.25
h 0.5
h 0.25
q 0.25
j 0.25
h 0.25
g 0.5
d 0.25
p 0.5
q 0.25
w 0.25
w 0.25
e 0.25
e 0.25
e 0.25
e 0.5
e 0.5
e 0.25
w 0.25
w 0.25
w 0.25
p 0.5
w 0.25
e 0.25
q 0.25
h 0.25
h 0.25
h 0.25
h 0.5
g 0.5
g 0.5
