# 曲名：偏爱（张芸京，简谱参考试听）
# 推荐节拍：833 ms/拍
# 来源：公开单页简谱；标注 1=A、4/4、♩=72。
# 方法：按谱面数字、音区、附点、延音识别导出；反复框与结尾路线需试听复核，未加入曲库。
f 1
y 1.5
f 1
e 1
w 1
g 1
p 1
s 1
g 1
p 1
g 1
q 1
j 0.5
q 0.5
t 0.5
t 1.5
q 0.5
w 0.5
w 4
q 0.5
j 0.5
q 0.5
e 0.5
e 0.75
q 0.5
t 0.5
t 1
r 0.5
e 0.5
w 4
p 1
h 0.5
j 0.5
a 0.5
a 1
g 0.5
g 0.5
p 0.5
p 1
h 0.5
h 0.5
d 0.5
s 0.5
s 0.5
a 0.5
a 1
a 0.5
s 0.5
a 1
d 0.5
d 0.5
h 0.75
g 0.5
b 3
p 1
a 0.5
a 0.5
a 0.5
a 0.5
s 0.5
d 0.75
a 0.5
d 1.5
d 0.5
d 0.5
s 0.5
g 0.75
g 0.5
j 0.5
a 3
d 0.5
f 0.5
d 0.5
f 0.5
d 0.75
a 0.5
a 0.5
h 0.5
s 2
p 1
f 0.5
f 0.5
f 0.75
d 0.5
d 0.75
s 0.5
d 1.5
d 0.5
d 0.5
d 0.5
h 0.75
d 0.75
s 0.5
a 1
g 0.5
h 0.5
j 0.5
a 0.5
a 0.5
d 0.5
s 0.5
s 2
d 2
q 0.5
q 0.5
q 0.5
a 0.5
q 0.5
q 0.5
q 0.5
a 0.5
q 0.5
j 0.5
h 0.75
g 0.5
d 1
s 0.5
a 0.5
a 0.5
g 0.5
a 0.5
s 0.5
d 0.75
g 0.5
a 0.5
s 0.75
d 0.75
g 0.5
a 0.5
s 0.5
d 3
q 0.5
q 0.5
q 0.5
j 0.5
h 0.5
j 0.75
q 0.5
a 0.5
a 0.5
q 0.5
q 0.5
j 0.5
h 0.5
g 0.75
d 1
d 0.5
s 0.5
a 0.5
h 0.5
d 1
d 0.5
s 0.5
a 0.5
h 0.5
d 1
d 0.5
s 0.5
a 0.5
h 0.5
s 3
p 0.5
q 0.5
j 0.5
h 0.5
q 0.5
h 0.5
h 2
f 1
d 0.5
f 0.5
d 0.75
s 0.5
s 2
q 0.5
j 0.5
h 0.5
j 0.5
q 1
d 1
h 1
g 0.5
d 0.5
s 4
s 2
p 0.5
a 0.5
j 0.5
h 0.5
q 0.5
q 0.5
q 0.5
a 0.5
q 0.5
q 0.5
q 0.5
a 0.5
q 0.5
j 0.5
h 0.75
g 0.5
d 1
s 0.5
a 0.5
a 0.5
g 0.5
a 0.5
s 0.5
d 0.75
g 0.5
a 0.5
s 0.75
d 0.75
g 0.5
a 0.5
s 0.5
d 3
q 0.5
q 0.5
q 0.5
j 0.5
h 0.5
j 0.75
q 0.5
a 0.5
a 0.5
q 0.5
u 0.5
j 0.5
h 0.5
g 1.5
d 1
d 0.5
s 0.5
a 0.5
h 0.5
d 1
d 0.5
s 0.5
a 0.5
h 0.5
d 1
d 0.5
s 0.5
a 0.5
h 0.5
s 3
p 0.5
q 0.5
j 0.5
h 0.5
q 0.5
h 0.5
h 2
f 0.5
d 0.75
s 0.5
s 2
q 0.5
j 0.5
h 0.5
j 0.5
q 1
d 1
h 1
g 0.5
d 0.5
s 4
