# 曲名：多幸运（简谱参考试听）
# 来源：https://www.qupu123.com/jipu/p264609.html
# 方法：使用谱页附带示范音频转 MIDI；谱面标注 1=F、4/4、110 BPM；仅试听，未入库。
# 由21键曲谱播放器生成
# 格式：按键 拍数；p 表示休止，同时按键写在一起
# 录制基准：500 ms/拍
p 0.75
u 0.5
u 0.5
u 0.5
u 1.125
qu 0.125
ag 0.375
qgz 0.25
a 0.25
jb 0.25
zc 0.25
etu 0.5
eajc 0.125
z 0.5
r 0.625
t 0.25
t 0.25
u 0.5
wusb 0.5
whx 0.625
wb 0.5
ru 0.25
wbm 0.375
x 0.5
tuab 0.875
x 0.25
tu 0.5
udcb 0.625
uj 0.5
m 0.125
ec 0.5
eruc 0.25
m 0.375
ecm 0.5
tc 0.25
m 0.375
uab 0.5
u 0.25
u 0.25
udjcbm 0.5
r 0.125
j 0.125
m 0.25
ejcm 0.5
u 0.125
d 0.125
ucbm 0.125
r 0.25
ru 0.5
tucbm 0.5
ub 0.625
tb 0.5
ab 0.125
ez 0.375
q 0.875
b 0.375
qetu 0.25
dj 0.25
jb 0.25
z 0.25
qruz 0.125
e 0.375
tuab 0.5
thz 0.5
wuhx 0.5
h 0.75
x 0.25
uh 0.25
ux 0.125
s 0.25
x 0.5
tud 0.5
tx 0.625
yu 0.5
c 0.125
uj 0.125
c 0.375
j 0.625
c 0.125
e 0.125
j 0.25
wtuc 0.125
e 0.125
m 0.25
ec 0.25
t 0.25
wethc 0.5
c 0.5
y 0.5
ujc 0.375
h 0.25
ej 0.5
c 0.5
et 0.25
edc 0.5
t 0.25
tc 0.5
tcb 0.125
u 0.125
e 0.25
u 0.625
qa 0.5
g 0.125
a 0.375
gzcb 0.375
j 0.125
eg 0.5
egjcb 0.125
az 0.5
r 0.5
tgb 0.375
tzc 0.75
wshb 0.25
x 0.25
h 0.5
w 0.25
h 0.25
wruhx 0.25
rm 0.25
hb 0.625
uagb 1.375
j 0.125
dcb 0.125
u 0.5
j 0.5
ec 0.125
h 0.375
ryhj 0.625
hm 0.625
h 0.375
b 0.25
ugb 0.875
ujc 0.25
h 0.25
j 0.375
j 0.375
jcm 0.25
e 0.25
eru 0.25
rum 0.25
m 0.5
tac 0.625
ub 0.5
wts 0.25
b 0.25
quab 0.5
g 0.25
gb 0.25
j 0.125
gb 0.125
z 0.25
eg 0.25
c 0.375
gcb 0.125
z 0.375
r 0.625
b 0.125
g 0.375
g 0.5
wsh 0.125
b 0.125
x 0.25
h 0.5
b 0.25
h 0.25
ruh 0.375
wrux 0.25
h 0.625
tuagb 0.5
b 0.5
tu 0.125
h 0.25
uj 0.125
udcb 0.625
j 0.125
c 0.375
ezc 0.25
h 0.375
rh 0.25
m 0.375
rhm 0.125
c 0.375
tg 0.5
ub 0.25
w 0.625
u 0.125
j 0.375
jc 0.375
j 0.5
ec 0.625
u 0.875
eb 0.25
t 0.125
w 0.375
b 0.125
wu 0.25
w 0.5
d 0.25
qetz 0.25
c 0.125
j 0.25
gj 0.5
jzcb 0.625
