# 曲名: 若梦
# 版本: 周深演唱，《与君歌》（原名《梦醒长安》）主题曲
# 来源: G调公开动态数字简谱 BV1cp1MBzEfZ；同源静态谱 xdz.ilaozhu.com/numeric-notation/281.html
# 谱面: 1=G，4/4，四分音符=58；57小节按印刷顺序展开
# 推荐: 1034 ms/拍（按谱面 58 BPM 取整）
# 方法: 逐系统抽帧识谱；57个证据裁切；音高、八度、时值与休止逐项复核；每小节4拍闭合
# 说明: 仅取数字谱主旋律；视频片头片尾不写入TXT
# 状态: candidate（requires_in_game_audition，未经游戏内完整试听）
v 0.25
a 0.25
g 0.25
h 0.25
h 0.5
g 0.25
h 0.25
b 0.25
s 0.25
g 0.5
g 1
n 0.25
d 0.25
g 0.25
h 0.25
h 0.5
g 0.25
h 0.25
h 2
v 0.25
a 0.25
g 0.25
h 0.25
h 0.5
g 0.25
h 0.25
b 0.25
s 0.25
g 0.5
g 1
n 0.25
d 0.25
g 0.25
h 0.25
h 0.5
g 0.25
h 0.25
h 2
p 0.5
h 0.25
d 0.25
p 0.5
g 0.25
s 0.25
p 0.5
d 0.25
a 0.25
a 0.5
s 0.25
n 0.25
h 1
p 1
p 1
p 1
p 0.5
h 0.25
d 0.25
p 0.5
g 0.25
s 0.25
p 0.5
d 0.25
g 0.25
g 0.25
j 0.75
j 1.5
h 0.25
q 0.25
q 1
p 1
p 0.5
h 0.25
d 0.25
p 0.5
g 0.25
s 0.25
p 0.5
d 0.25
a 0.25
a 0.5
s 0.25
h 0.25
h 1
p 0.5
a 0.25
d 0.25
d 0.75
s 0.25
p 0.25
n 0.25
a 0.25
d 0.25
d 1
p 0.5
a 0.25
s 0.25
s 1
p 0.25
d 0.25
a 0.25
h 0.25
y 1
p 1
p 1
p 1
p 0.5
h 0.25
d 0.25
p 0.5
g 0.25
s 0.25
p 0.5
d 0.25
a 0.25
a 0.5
s 0.25
s 0.25
s 0.25
a 0.25
n 0.5
p 1
p 1
p 1
p 0.5
h 0.25
d 0.25
p 0.5
g 0.25
s 0.25
p 0.5
d 0.25
g 0.25
g 0.25
j 0.75
j 1.5
h 0.5
d 2
p 0.5
h 0.25
d 0.25
p 0.5
g 0.25
s 0.25
p 0.5
d 0.25
g 0.25
g 0.5
d 0.25
h 0.25
h 1
p 0.25
a 0.25
d 0.75
s 0.5
n 0.25
n 0.25
a 0.25
g 0.5
s 1
p 0.25
a 0.25
g 0.5
s 1.5
d 0.25
s 0.25
s 0.5
a 0.25
h 0.25
h 2
g 0.5
h 0.5
e 1
e 1
w 0.5
q 0.5
h 0.5
e 0.5
e 3
g 0.5
h 0.5
e 1
e 1
w 0.5
e 0.5
t 0.5
e 0.5
e 3
w 0.5
q 0.5
h 1
e 1
w 0.5
q 0.5
h 0.5
e 0.5
e 3
w 0.5
q 0.5
h 1
w 1
e 0.5
t 0.5
h 1
h 0.5
g 0.25
h 0.25
p 0.5
g 0.25
h 0.25
p 1
h 1
p 0.5
g 0.25
h 0.25
p 0.5
g 0.25
h 0.25
h 2
b 0.5
n 0.5
h 1
s 2
m 0.25
h 0.75
h 3
p 0.5
h 0.25
d 0.25
p 0.5
g 0.25
s 0.25
p 0.5
d 0.25
a 0.25
q 0.5
s 0.25
s 0.25
s 0.25
a 0.25
n 0.5
p 1
p 1
p 1
p 0.5
h 0.25
d 0.25
p 0.5
g 0.25
s 0.25
p 0.5
d 0.25
g 0.25
g 0.25
j 0.75
j 1.5
h 0.25
q 0.25
q 1
p 1
p 0.5
h 0.25
d 0.25
p 0.5
g 0.25
s 0.25
p 0.5
d 0.25
g 0.25
g 0.5
d 0.25
h 0.25
h 1
p 0.25
a 0.25
g 0.5
s 0.75
n 0.25
n 0.25
a 0.25
g 0.5
s 1
p 0.25
s 0.25
a 0.25
s 0.25
s 1
p 0.5
d 0.25
h 0.25
h 3
g 0.5
h 0.5
e 1
e 1
w 0.5
q 0.5
h 0.5
e 0.5
e 3
g 0.5
h 0.5
e 1
e 1
w 0.5
e 0.5
t 0.5
e 0.5
e 3
w 0.5
q 0.5
h 1
e 1
w 0.5
q 0.5
h 0.5
e 0.5
e 3
w 0.5
q 0.5
h 1
w 1
e 0.5
t 0.5
h 1
h 3
g 0.5
h 0.5
e 1
e 1
w 0.5
q 0.5
h 0.5
e 0.5
e 3
g 0.5
h 0.5
e 1
e 1
w 0.5
e 0.5
t 0.5
e 0.5
e 3
w 0.5
q 0.5
h 1
e 1
w 0.5
q 0.5
h 0.5
e 0.5
p 0.5
e 0.5
w 0.5
q 1
w 1
q 0.5
h 1
w 1
e 0.5
t 0.5
h 1
h 3
w 0.5
q 0.5
h 1
w 1
e 0.5
t 0.5
h 1
h 4
