# 曲名: 雨爱（新宿对决版）
# 版本: BV1QC3G6DEKX「新宿决战」代表剪辑；原曲杨丞琳《雨爱》
# 来源: 桃李醉春风完整数字简谱 + BV1QC3G6DEKX 音频剪辑对齐
# 路线: m29-41 → m6-27 → 14.669秒对白休止 → m28-33 → m42-45 → m21-32
# 调式: 原谱1=E；目标DJ音源整体升4半音至G#；按相对音级映射21键
# 推荐: 418 ms/拍（约143.54 BPM，按目标剪辑实测）
# 方法: 逐段音频对齐并按完整谱裁剪；对白/音效段显式休止；总长对齐109.973秒
# 状态: candidate（requires_in_game_audition，重点试听58.520秒与73.189秒切口）
f 0.5
d 0.5
f 0.5
g 0.5
d 0.5
p 1
g 0.5
g 0.5
a 0.5
a 0.5
j 1.5
a 0.25
p 0.5
h 0.25
g 1.25
a 0.25
m 1.25
a 0.25
p 0.25
s 0.5
d 0.25
d 0.5
n 0.5
h 0.5
a 0.5
p 0.5
a 0.5
m 0.5
a 0.5
g 0.5
a 0.5
a 0.5
j 1
j 1.5
a 4
p 1
p 1
p 1
p 1
a 1.5
g 1
g 1.5
h 1.25
g 0.25
g 0.5
f 1.25
h 0.5
g 0.25
g 2
a 2
a 2
p 0.5
d 1
s 0.5
a 2
g 0.5
g 1
g 0.5
g 4
d 1.5
p 0.5
g 0.5
g 1.5
d 0.5
p 1.25
g 0.5
d 0.25
s 0.5
a 0.25
s 0.5
m 0.25
m 0.5
p 0.5
p 1
a 0.5
m 1
n 0.5
p 1
a 1
n 0.5
m 1
a 0.5
d 1.5
p 0.5
g 0.5
h 1.5
d 0.5
p 1.25
g 0.5
g 0.25
f 0.5
d 0.25
d 0.5
a 0.25
a 0.5
s 1.5
p 0.5
d 0.5
s 0.5
a 0.5
n 0.5
b 0.5
n 0.5
b 0.5
n 0.5
n 0.5
d 0.25
p 0.5
b 0.25
n 0.5
b 0.5
n 0.5
b 0.5
n 0.5
n 0.5
d 0.25
p 0.5
d 0.25
d 0.5
s 0.5
s 0.5
a 0.5
a 0.5
a 0.5
s 0.25
p 0.5
f 0.25
f 0.5
d 0.25
f 0.5
g 1.25
p 0.5
d 0.25
s 0.5
a 0.25
g 1.5
p 0.5
p 0.5
d 0.5
s 0.5
a 0.5
s 0.25
d 0.5
p 0.25
d 0.5
s 0.25
a 0.5
s 0.25
d 0.5
p 0.25
d 0.5
d 0.25
d 0.25
d 0.5
d 0.25
d 0.5
d 0.25
f 0.5
g 0.25
g 0.5
d 0.25
s 0.5
d 0.25
s 0.5
a 0.5
a 0.5
a 0.5
p 0.5
a 0.5
s 0.5
d 0.5
f 0.5
d 0.5
f 0.5
g 0.5
d 0.5
p 1
g 0.5
g 0.5
a 0.5
a 0.5
j 1.5
a 0.25
p 0.5
h 0.25
g 0.5
a 0.25
a 0.5
m 1.25
a 0.5
p 0.25
s 0.5
d 0.25
d 0.5
n 0.5
h 0.5
a 0.5
p 0.5
a 0.5
m 0.5
a 0.5
h 0.5
g 0.25
g 0.5
g 1.25
p 0.5
d 0.25
s 0.5
a 0.25
s 0.25
d 0.5
p 0.25
d 0.5
s 0.25
a 0.5
s 0.25
d 0.5
p 0.25
d 0.5
d 0.25
d 0.25
d 0.5
d 0.25
d 0.5
d 0.25
f 0.5
g 0.25
g 0.5
d 0.25
s 0.5
d 0.25
p 35.0933
s 1.5
a 0.5
d 0.5
p 0.5
a 0.25
s 0.5
d 0.25
f 0.5
d 0.5
f 0.5
g 0.5
d 0.5
p 1
g 0.5
g 0.5
a 0.5
a 0.5
j 1.5
a 0.25
p 0.5
h 0.25
g 1.25
a 0.25
m 1.25
a 0.25
p 0.25
s 0.5
d 0.25
d 0.5
n 0.5
h 0.5
a 0.5
p 0.5
a 0.5
m 0.5
a 0.5
g 0.5
a 0.5
a 0.5
j 1
j 1.5
g 1
a 1
h 0.5
j 1
a 0.5
g 0.5
a 0.5
a 1
j 0.5
j 1
a 0.5
a 2.5
p 0.5
d 0.5
d 0.5
g 0.5
a 0.5
a 1
j 0.5
j 1
s 0.5
f 0.5
d 0.5
f 0.5
g 0.5
d 0.5
p 1
g 0.5
g 0.5
a 0.5
a 0.5
j 1.5
a 0.25
p 0.5
h 0.25
g 0.5
a 0.25
a 0.5
m 1.25
a 0.5
p 0.25
s 0.5
d 0.25
d 0.5
n 0.5
h 0.5
a 0.5
p 0.5
a 0.5
m 0.5
a 0.5
h 0.5
g 0.25
g 0.5
g 1.25
p 0.5
d 0.25
s 0.5
a 0.25
s 0.25
d 0.5
p 0.25
d 0.5
s 0.25
a 0.5
s 0.25
d 0.5
p 0.25
d 0.5
d 0.25
d 0.25
d 0.5
d 0.25
d 0.5
d 0.25
f 0.5
g 0.25
g 0.5
d 0.25
s 0.5
d 0.25
s 1.5
a 0.5
d 0.5
p 0.5
a 0.25
s 0.5
d 0.25
f 0.5
d 0.5
f 0.5
g 0.5
d 0.5
p 1
g 0.5
g 0.5
a 0.5
a 0.5
j 1.5
a 0.25
p 0.5
h 0.25
g 1.25
a 0.25
m 1.25
a 0.25
p 0.25
s 0.5
d 0.25
d 0.5
n 0.5
h 0.5
a 0.5
p 0.5
a 0.5
m 0.5
a 0.5
